Français,Português,Audio (URL ou caminho)
Bienvenue !,Bem-vindo!,
Je m'appelle Pablo.,Meu nome é Pablo.,
Comment tu t'appelles ?,Qual é o seu nome?,
"Ça va bien, et toi ?","Tudo bem, e com você?",
J’ai une réunion à dix heures.,Tenho uma reunião às dez horas.,
Il fait chaud aujourd’hui.,Está quente hoje.,
Je veux apprendre le français.,Eu quero aprender francês.,
Où est la salle de réunion ?,Onde fica a sala de reunião?,
Je ne comprends pas.,Eu não entendo.,
Je travaille beaucoup cette semaine.,Eu trabalho muito esta semana.,
